escenario,year,deuda,pb,r_efectivo,g_nominal,presion_demog
central,2024,105.22,-0.9,2.43,3.3,0.0
central,2025,105.6,-1.13,2.57,3.3,0.23
central,2026,106.32,-1.35,2.68,3.3,0.45
central,2027,107.43,-1.63,2.79,3.3,0.73
central,2028,108.9,-1.92,2.87,3.3,1.02
central,2029,110.73,-2.19,2.95,3.3,1.29
central,2030,112.9,-2.47,3.02,3.3,1.57
central,2031,115.47,-2.8,3.08,3.3,1.9
central,2032,118.36,-3.08,3.13,3.3,2.18
central,2033,121.63,-3.41,3.18,3.3,2.51
central,2034,125.22,-3.68,3.22,3.3,2.78
central,2035,129.18,-4.01,3.25,3.3,3.11
central,2036,133.39,-4.23,3.29,3.3,3.33
central,2037,137.95,-4.55,3.31,3.3,3.65
central,2038,142.87,-4.87,3.34,3.3,3.97
central,2039,148.09,-5.14,3.36,3.3,4.24
central,2040,153.61,-5.41,3.37,3.3,4.51
central,2041,159.53,-5.78,3.39,3.3,4.88
central,2042,165.73,-6.05,3.4,3.3,5.15
central,2043,172.23,-6.31,3.42,3.3,5.41
central,2044,179.02,-6.58,3.43,3.3,5.68
central,2045,186.04,-6.79,3.44,3.3,5.89
central,2046,193.3,-7.0,3.44,3.3,6.1
central,2047,200.73,-7.15,3.45,3.3,6.25
central,2048,208.35,-7.31,3.46,3.3,6.41
central,2049,216.04,-7.36,3.46,3.3,6.46
central,2050,223.86,-7.47,3.47,3.3,6.57
sin_demografia,2024,105.22,-0.9,2.43,3.3,0.0
sin_demografia,2025,105.37,-0.9,2.57,3.3,0.0
sin_demografia,2026,105.64,-0.9,2.68,3.3,0.0
sin_demografia,2027,106.02,-0.9,2.79,3.3,0.0
sin_demografia,2028,106.48,-0.9,2.87,3.3,0.0
sin_demografia,2029,107.02,-0.9,2.95,3.3,0.0
sin_demografia,2030,107.63,-0.9,3.02,3.3,0.0
sin_demografia,2031,108.31,-0.9,3.08,3.3,0.0
sin_demografia,2032,109.03,-0.9,3.13,3.3,0.0
sin_demografia,2033,109.8,-0.9,3.18,3.3,0.0
sin_demografia,2034,110.62,-0.9,3.22,3.3,0.0
sin_demografia,2035,111.47,-0.9,3.25,3.3,0.0
sin_demografia,2036,112.35,-0.9,3.29,3.3,0.0
sin_demografia,2037,113.27,-0.9,3.31,3.3,0.0
sin_demografia,2038,114.21,-0.9,3.34,3.3,0.0
sin_demografia,2039,115.17,-0.9,3.36,3.3,0.0
sin_demografia,2040,116.15,-0.9,3.37,3.3,0.0
sin_demografia,2041,117.15,-0.9,3.39,3.3,0.0
sin_demografia,2042,118.17,-0.9,3.4,3.3,0.0
sin_demografia,2043,119.2,-0.9,3.42,3.3,0.0
sin_demografia,2044,120.25,-0.9,3.43,3.3,0.0
sin_demografia,2045,121.31,-0.9,3.44,3.3,0.0
sin_demografia,2046,122.37,-0.9,3.44,3.3,0.0
sin_demografia,2047,123.45,-0.9,3.45,3.3,0.0
sin_demografia,2048,124.54,-0.9,3.46,3.3,0.0
sin_demografia,2049,125.63,-0.9,3.46,3.3,0.0
sin_demografia,2050,126.74,-0.9,3.47,3.3,0.0
consolidacion,2024,105.22,-0.9,2.43,3.3,0.0
consolidacion,2025,105.6,-1.13,2.57,3.3,0.23
consolidacion,2026,106.07,-1.1,2.68,3.3,0.45
consolidacion,2027,106.68,-1.13,2.79,3.3,0.73
consolidacion,2028,107.4,-1.17,2.87,3.3,1.02
consolidacion,2029,108.24,-1.19,2.95,3.3,1.29
consolidacion,2030,109.17,-1.22,3.02,3.3,1.57
consolidacion,2031,110.24,-1.3,3.08,3.3,1.9
consolidacion,2032,111.4,-1.33,3.13,3.3,2.18
consolidacion,2033,112.67,-1.41,3.18,3.3,2.51
consolidacion,2034,114.02,-1.43,3.22,3.3,2.78
consolidacion,2035,115.48,-1.51,3.25,3.3,3.11
consolidacion,2036,117.19,-1.73,3.29,3.3,3.33
consolidacion,2037,119.25,-2.05,3.31,3.3,3.65
consolidacion,2038,121.67,-2.37,3.34,3.3,3.97
consolidacion,2039,124.38,-2.64,3.36,3.3,4.24
consolidacion,2040,127.38,-2.91,3.37,3.3,4.51
consolidacion,2041,130.77,-3.28,3.39,3.3,4.88
consolidacion,2042,134.45,-3.55,3.4,3.3,5.15
consolidacion,2043,138.41,-3.81,3.42,3.3,5.41
consolidacion,2044,142.66,-4.08,3.43,3.3,5.68
consolidacion,2045,147.13,-4.29,3.44,3.3,5.89
consolidacion,2046,151.84,-4.5,3.44,3.3,6.1
consolidacion,2047,156.71,-4.65,3.45,3.3,6.25
consolidacion,2048,161.76,-4.81,3.46,3.3,6.41
consolidacion,2049,166.88,-4.86,3.46,3.3,6.46
consolidacion,2050,172.12,-4.97,3.47,3.3,6.57
inversion,2024,106.22,-1.9,2.43,3.3,0.0
inversion,2025,107.59,-2.13,2.57,3.3,0.23
inversion,2026,109.3,-2.35,2.68,3.3,0.45
inversion,2027,111.39,-2.63,2.79,3.3,0.73
inversion,2028,113.85,-2.92,2.87,3.3,1.02
inversion,2029,116.66,-3.19,2.95,3.3,1.29
inversion,2030,119.82,-3.47,3.02,3.3,1.57
inversion,2031,123.37,-3.8,3.08,3.3,1.9
inversion,2032,127.25,-4.08,3.13,3.3,2.18
inversion,2033,131.51,-4.41,3.18,3.3,2.51
inversion,2034,136.09,-4.68,3.22,3.3,2.78
inversion,2035,141.04,-5.01,3.25,3.3,3.11
inversion,2036,145.25,-4.23,3.29,3.3,3.33
inversion,2037,149.82,-4.55,3.31,3.3,3.65
inversion,2038,154.74,-4.87,3.34,3.3,3.97
inversion,2039,159.97,-5.14,3.36,3.3,4.24
inversion,2040,165.5,-5.41,3.37,3.3,4.51
inversion,2041,171.42,-5.78,3.39,3.3,4.88
inversion,2042,177.64,-6.05,3.4,3.3,5.15
inversion,2043,184.15,-6.31,3.42,3.3,5.41
inversion,2044,190.96,-6.58,3.43,3.3,5.68
inversion,2045,197.99,-6.79,3.44,3.3,5.89
inversion,2046,205.27,-7.0,3.44,3.3,6.1
inversion,2047,212.72,-7.15,3.45,3.3,6.25
inversion,2048,220.35,-7.31,3.46,3.3,6.41
inversion,2049,228.06,-7.36,3.46,3.3,6.46
inversion,2050,235.9,-7.47,3.47,3.3,6.57
tipos_altos,2024,105.35,-0.9,2.56,3.3,0.0
tipos_altos,2025,105.96,-1.13,2.8,3.3,0.23
tipos_altos,2026,107.02,-1.35,3.01,3.3,0.45
tipos_altos,2027,108.55,-1.63,3.2,3.3,0.73
tipos_altos,2028,110.53,-1.92,3.36,3.3,1.02
tipos_altos,2029,112.95,-2.19,3.5,3.3,1.29
tipos_altos,2030,115.78,-2.47,3.63,3.3,1.57
tipos_altos,2031,119.07,-2.8,3.74,3.3,1.9
tipos_altos,2032,122.77,-3.08,3.83,3.3,2.18
tipos_altos,2033,126.91,-3.41,3.92,3.3,2.51
tipos_altos,2034,131.44,-3.68,3.99,3.3,2.78
tipos_altos,2035,136.41,-4.01,4.05,3.3,3.11
tipos_altos,2036,141.7,-4.23,4.11,3.3,3.33
tipos_altos,2037,147.43,-4.55,4.16,3.3,3.65
tipos_altos,2038,153.59,-4.87,4.2,3.3,3.97
tipos_altos,2039,160.13,-5.14,4.24,3.3,4.24
tipos_altos,2040,167.04,-5.41,4.27,3.3,4.51
tipos_altos,2041,174.44,-5.78,4.3,3.3,4.88
tipos_altos,2042,182.22,-6.05,4.32,3.3,5.15
tipos_altos,2043,190.38,-6.31,4.35,3.3,5.41
tipos_altos,2044,198.92,-6.58,4.37,3.3,5.68
tipos_altos,2045,207.79,-6.79,4.38,3.3,5.89
tipos_altos,2046,217.0,-7.0,4.4,3.3,6.1
tipos_altos,2047,226.48,-7.15,4.41,3.3,6.25
tipos_altos,2048,236.25,-7.31,4.42,3.3,6.41
tipos_altos,2049,246.2,-7.36,4.43,3.3,6.46
tipos_altos,2050,256.39,-7.47,4.44,3.3,6.57
crecimiento,2024,104.52,-0.9,2.43,4.0,0.0
crecimiento,2025,104.2,-1.13,2.57,4.0,0.23
crecimiento,2026,104.24,-1.35,2.68,4.0,0.45
crecimiento,2027,104.65,-1.63,2.79,4.0,0.73
crecimiento,2028,105.44,-1.92,2.87,4.0,1.02
crecimiento,2029,106.57,-2.19,2.95,4.0,1.29
crecimiento,2030,108.04,-2.47,3.02,4.0,1.57
crecimiento,2031,109.89,-2.8,3.08,4.0,1.9
crecimiento,2032,112.06,-3.08,3.13,4.0,2.18
crecimiento,2033,114.58,-3.41,3.18,4.0,2.51
crecimiento,2034,117.4,-3.68,3.22,4.0,2.78
crecimiento,2035,120.57,-4.01,3.25,4.0,3.11
crecimiento,2036,123.97,-4.23,3.29,4.0,3.33
crecimiento,2037,127.7,-4.55,3.31,4.0,3.65
crecimiento,2038,131.76,-4.87,3.34,4.0,3.97
crecimiento,2039,136.09,-5.14,3.36,4.0,4.24
crecimiento,2040,140.68,-5.41,3.37,4.0,4.51
crecimiento,2041,145.63,-5.78,3.39,4.0,4.88
crecimiento,2042,150.85,-6.05,3.4,4.0,5.15
crecimiento,2043,156.31,-6.31,3.42,4.0,5.41
crecimiento,2044,162.03,-6.58,3.43,4.0,5.68
crecimiento,2045,167.94,-6.79,3.44,4.0,5.89
crecimiento,2046,174.03,-7.0,3.44,4.0,6.1
crecimiento,2047,180.27,-7.15,3.45,4.0,6.25
crecimiento,2048,186.64,-7.31,3.46,4.0,6.41
crecimiento,2049,193.04,-7.36,3.46,4.0,6.46
crecimiento,2050,199.52,-7.47,3.47,4.0,6.57
