freq,age,agedef,unit,sex,geo,time,value
A,TOTAL,COMPLET,NR,T,AT,1996,66050
A,TOTAL,COMPLET,NR,T,AT,1997,68585
A,TOTAL,COMPLET,NR,T,AT,1998,64272
A,TOTAL,COMPLET,NR,T,AT,1999,66923
A,TOTAL,COMPLET,NR,T,AT,2000,64472
A,TOTAL,COMPLET,NR,T,AT,2001,72654
A,TOTAL,COMPLET,NR,T,AT,2002,74831
A,TOTAL,COMPLET,NR,T,AT,2003,71996
A,TOTAL,COMPLET,NR,T,AT,2004,71721
A,TOTAL,COMPLET,NR,T,AT,2005,70133
A,TOTAL,COMPLET,NR,T,AT,2006,74432
A,TOTAL,COMPLET,NR,T,AT,2007,49898
A,TOTAL,COMPLET,NR,T,AT,2008,51563
A,TOTAL,COMPLET,NR,T,AT,2009,53244
A,TOTAL,COMPLET,NR,T,AT,2010,51651
A,TOTAL,COMPLET,NR,T,AT,2011,51197
A,TOTAL,COMPLET,NR,T,AT,2012,51812
A,TOTAL,COMPLET,NR,T,AT,2013,54071
A,TOTAL,COMPLET,NR,T,AT,2014,53491
A,TOTAL,COMPLET,NR,T,AT,2015,56689
A,TOTAL,COMPLET,NR,T,AT,2016,64428
A,TOTAL,COMPLET,NR,T,AT,2017,66144
A,TOTAL,COMPLET,NR,T,AT,2018,67212
A,TOTAL,COMPLET,NR,T,AT,2019,68280
A,TOTAL,COMPLET,NR,T,AT,2020,62581
A,TOTAL,COMPLET,NR,T,AT,2021,67299
A,TOTAL,COMPLET,NR,T,AT,2022,74271
A,TOTAL,COMPLET,NR,T,AT,2023,74036
A,TOTAL,COMPLET,NR,T,AT,2024,81477
A,TOTAL,COMPLET,NR,T,BE,1995,36044
A,TOTAL,COMPLET,NR,T,BE,1996,36674
A,TOTAL,COMPLET,NR,T,BE,1997,39320
A,TOTAL,COMPLET,NR,T,BE,1998,72087
A,TOTAL,COMPLET,NR,T,BE,1999,74097
A,TOTAL,COMPLET,NR,T,BE,2000,75320
A,TOTAL,COMPLET,NR,T,BE,2001,75261
A,TOTAL,COMPLET,NR,T,BE,2002,75960
A,TOTAL,COMPLET,NR,T,BE,2003,79399
A,TOTAL,COMPLET,NR,T,BE,2004,83895
A,TOTAL,COMPLET,NR,T,BE,2005,86899
A,TOTAL,COMPLET,NR,T,BE,2006,88163
A,TOTAL,COMPLET,NR,T,BE,2007,91052
A,TOTAL,COMPLET,NR,T,BE,2010,66013
A,TOTAL,COMPLET,NR,T,BE,2011,84148
A,TOTAL,COMPLET,NR,T,BE,2012,93600
A,TOTAL,COMPLET,NR,T,BE,2013,102657
A,TOTAL,COMPLET,NR,T,BE,2014,94573
A,TOTAL,COMPLET,NR,T,BE,2015,89794
A,TOTAL,COMPLET,NR,T,BE,2016,92471
A,TOTAL,COMPLET,NR,T,BE,2017,89690
A,TOTAL,COMPLET,NR,T,BE,2018,88935
A,TOTAL,COMPLET,NR,T,BE,2019,102936
A,TOTAL,COMPLET,NR,T,BE,2020,76562
A,TOTAL,COMPLET,NR,T,BE,2021,87272
A,TOTAL,COMPLET,NR,T,BE,2022,84627
A,TOTAL,COMPLET,NR,T,BE,2023,96071
A,TOTAL,COMPLET,NR,T,BE,2024,100100
A,TOTAL,COMPLET,NR,T,BG,2007,2958
A,TOTAL,COMPLET,NR,T,BG,2012,16615
A,TOTAL,COMPLET,NR,T,BG,2013,19678
A,TOTAL,COMPLET,NR,T,BG,2014,28727
A,TOTAL,COMPLET,NR,T,BG,2015,29470
A,TOTAL,COMPLET,NR,T,BG,2016,30570
A,TOTAL,COMPLET,NR,T,BG,2017,31586
A,TOTAL,COMPLET,NR,T,BG,2018,33225
A,TOTAL,COMPLET,NR,T,BG,2019,39941
A,TOTAL,COMPLET,NR,T,BG,2020,6649
A,TOTAL,COMPLET,NR,T,BG,2021,26755
A,TOTAL,COMPLET,NR,T,BG,2022,13175
A,TOTAL,COMPLET,NR,T,BG,2023,15227
A,TOTAL,COMPLET,NR,T,BG,2024,13002
A,TOTAL,COMPLET,NR,T,CH,1995,99509
A,TOTAL,COMPLET,NR,T,CH,1996,103398
A,TOTAL,COMPLET,NR,T,CH,1997,98521
A,TOTAL,COMPLET,NR,T,CH,1998,94778
A,TOTAL,COMPLET,NR,T,CH,1999,91804
A,TOTAL,COMPLET,NR,T,CH,2000,90078
A,TOTAL,COMPLET,NR,T,CH,2001,82234
A,TOTAL,COMPLET,NR,T,CH,2002,78419
A,TOTAL,COMPLET,NR,T,CH,2003,76756
A,TOTAL,COMPLET,NR,T,CH,2004,79726
A,TOTAL,COMPLET,NR,T,CH,2005,82090
A,TOTAL,COMPLET,NR,T,CH,2006,88218
A,TOTAL,COMPLET,NR,T,CH,2007,90175
A,TOTAL,COMPLET,NR,T,CH,2008,86130
A,TOTAL,COMPLET,NR,T,CH,2009,86036
A,TOTAL,COMPLET,NR,T,CH,2010,96839
A,TOTAL,COMPLET,NR,T,CH,2011,96494
A,TOTAL,COMPLET,NR,T,CH,2012,103881
A,TOTAL,COMPLET,NR,T,CH,2013,106196
A,TOTAL,COMPLET,NR,T,CH,2014,111103
A,TOTAL,COMPLET,NR,T,CH,2015,116631
A,TOTAL,COMPLET,NR,T,CH,2016,120653
A,TOTAL,COMPLET,NR,T,CH,2017,124997
A,TOTAL,COMPLET,NR,T,CH,2018,130225
A,TOTAL,COMPLET,NR,T,CH,2019,126221
A,TOTAL,COMPLET,NR,T,CH,2020,109376
A,TOTAL,COMPLET,NR,T,CH,2021,116769
A,TOTAL,COMPLET,NR,T,CH,2022,122123
A,TOTAL,COMPLET,NR,T,CH,2023,123963
A,TOTAL,COMPLET,NR,T,CH,2024,129786
A,TOTAL,COMPLET,NR,T,CY,2002,1474
A,TOTAL,COMPLET,NR,T,CY,2003,1696
A,TOTAL,COMPLET,NR,T,CY,2004,1913
A,TOTAL,COMPLET,NR,T,CY,2005,2192
A,TOTAL,COMPLET,NR,T,CY,2006,2778
A,TOTAL,COMPLET,NR,T,CY,2007,4106
A,TOTAL,COMPLET,NR,T,CY,2009,4797
A,TOTAL,COMPLET,NR,T,CY,2010,4293
A,TOTAL,COMPLET,NR,T,CY,2011,4895
A,TOTAL,COMPLET,NR,T,CY,2012,19986
A,TOTAL,COMPLET,NR,T,CY,2013,20679
A,TOTAL,COMPLET,NR,T,CY,2014,16020
A,TOTAL,COMPLET,NR,T,CY,2015,15733
A,TOTAL,COMPLET,NR,T,CY,2016,16445
A,TOTAL,COMPLET,NR,T,CY,2017,16931
A,TOTAL,COMPLET,NR,T,CY,2018,17562
A,TOTAL,COMPLET,NR,T,CY,2019,18598
A,TOTAL,COMPLET,NR,T,CY,2020,14200
A,TOTAL,COMPLET,NR,T,CY,2021,13244
A,TOTAL,COMPLET,NR,T,CY,2022,21118
A,TOTAL,COMPLET,NR,T,CY,2023,26979
A,TOTAL,COMPLET,NR,T,CY,2024,26883
A,TOTAL,COMPLET,NR,T,CZ,2001,21469
A,TOTAL,COMPLET,NR,T,CZ,2002,32389
A,TOTAL,COMPLET,NR,T,CZ,2003,34226
A,TOTAL,COMPLET,NR,T,CZ,2004,34818
A,TOTAL,COMPLET,NR,T,CZ,2005,24065
A,TOTAL,COMPLET,NR,T,CZ,2006,33463
A,TOTAL,COMPLET,NR,T,CZ,2007,20500
A,TOTAL,COMPLET,NR,T,CZ,2008,51478
A,TOTAL,COMPLET,NR,T,CZ,2009,61782
A,TOTAL,COMPLET,NR,T,CZ,2010,61069
A,TOTAL,COMPLET,NR,T,CZ,2011,55910
A,TOTAL,COMPLET,NR,T,CZ,2012,46106
A,TOTAL,COMPLET,NR,T,CZ,2013,25894
A,TOTAL,COMPLET,NR,T,CZ,2014,28468
A,TOTAL,COMPLET,NR,T,CZ,2015,25684
A,TOTAL,COMPLET,NR,T,CZ,2016,38864
A,TOTAL,COMPLET,NR,T,CZ,2017,27316
A,TOTAL,COMPLET,NR,T,CZ,2018,26742
A,TOTAL,COMPLET,NR,T,CZ,2019,77798
A,TOTAL,COMPLET,NR,T,CZ,2020,35854
A,TOTAL,COMPLET,NR,T,CZ,2021,18630
A,TOTAL,COMPLET,NR,T,CZ,2022,31764
A,TOTAL,COMPLET,NR,T,CZ,2023,53639
A,TOTAL,COMPLET,NR,T,CZ,2024,88379
A,TOTAL,COMPLET,NR,T,DE,1995,698113
A,TOTAL,COMPLET,NR,T,DE,1996,677494
A,TOTAL,COMPLET,NR,T,DE,1997,746969
A,TOTAL,COMPLET,NR,T,DE,1998,755358
A,TOTAL,COMPLET,NR,T,DE,1999,672048
A,TOTAL,COMPLET,NR,T,DE,2000,674038
A,TOTAL,COMPLET,NR,T,DE,2001,606494
A,TOTAL,COMPLET,NR,T,DE,2002,623255
A,TOTAL,COMPLET,NR,T,DE,2003,626330
A,TOTAL,COMPLET,NR,T,DE,2004,697632
A,TOTAL,COMPLET,NR,T,DE,2005,628399
A,TOTAL,COMPLET,NR,T,DE,2006,639064
A,TOTAL,COMPLET,NR,T,DE,2007,636854
A,TOTAL,COMPLET,NR,T,DE,2008,737889
A,TOTAL,COMPLET,NR,T,DE,2009,286582
A,TOTAL,COMPLET,NR,T,DE,2010,252456
A,TOTAL,COMPLET,NR,T,DE,2011,249045
A,TOTAL,COMPLET,NR,T,DE,2012,240001
A,TOTAL,COMPLET,NR,T,DE,2013,259328
A,TOTAL,COMPLET,NR,T,DE,2014,314433
A,TOTAL,COMPLET,NR,T,DE,2015,321915
A,TOTAL,COMPLET,NR,T,DE,2016,513227
A,TOTAL,COMPLET,NR,T,DE,2017,516505
A,TOTAL,COMPLET,NR,T,DE,2018,475582
A,TOTAL,COMPLET,NR,T,DE,2019,496613
A,TOTAL,COMPLET,NR,T,DE,2020,404026
A,TOTAL,COMPLET,NR,T,DE,2021,458574
A,TOTAL,COMPLET,NR,T,DE,2022,452713
A,TOTAL,COMPLET,NR,T,DE,2023,580499
A,TOTAL,COMPLET,NR,T,DE,2024,584230
A,TOTAL,COMPLET,NR,T,DK,1995,34630
A,TOTAL,COMPLET,NR,T,DK,1996,37312
A,TOTAL,COMPLET,NR,T,DK,1997,38393
A,TOTAL,COMPLET,NR,T,DK,1998,40340
A,TOTAL,COMPLET,NR,T,DK,1999,41340
A,TOTAL,COMPLET,NR,T,DK,2000,43417
A,TOTAL,COMPLET,NR,T,DK,2001,43980
A,TOTAL,COMPLET,NR,T,DK,2002,43481
A,TOTAL,COMPLET,NR,T,DK,2003,43466
A,TOTAL,COMPLET,NR,T,DK,2004,45017
A,TOTAL,COMPLET,NR,T,DK,2005,45869
A,TOTAL,COMPLET,NR,T,DK,2006,46786
A,TOTAL,COMPLET,NR,T,DK,2007,41566
A,TOTAL,COMPLET,NR,T,DK,2008,38356
A,TOTAL,COMPLET,NR,T,DK,2009,39899
A,TOTAL,COMPLET,NR,T,DK,2010,41456
A,TOTAL,COMPLET,NR,T,DK,2011,41593
A,TOTAL,COMPLET,NR,T,DK,2012,43663
A,TOTAL,COMPLET,NR,T,DK,2013,43310
A,TOTAL,COMPLET,NR,T,DK,2014,44426
A,TOTAL,COMPLET,NR,T,DK,2015,44625
A,TOTAL,COMPLET,NR,T,DK,2016,52654
A,TOTAL,COMPLET,NR,T,DK,2017,56403
A,TOTAL,COMPLET,NR,T,DK,2018,60381
A,TOTAL,COMPLET,NR,T,DK,2019,66520
A,TOTAL,COMPLET,NR,T,DK,2020,53822
A,TOTAL,COMPLET,NR,T,DK,2021,44008
A,TOTAL,COMPLET,NR,T,DK,2022,62927
A,TOTAL,COMPLET,NR,T,DK,2023,68172
A,TOTAL,COMPLET,NR,T,DK,2024,69467
A,TOTAL,COMPLET,NR,T,EE,1995,9460
A,TOTAL,COMPLET,NR,T,EE,1996,7134
A,TOTAL,COMPLET,NR,T,EE,1997,4071
A,TOTAL,COMPLET,NR,T,EE,1998,2507
A,TOTAL,COMPLET,NR,T,EE,1999,1882
A,TOTAL,COMPLET,NR,T,EE,2000,1784
A,TOTAL,COMPLET,NR,T,EE,2001,2175
A,TOTAL,COMPLET,NR,T,EE,2002,2038
A,TOTAL,COMPLET,NR,T,EE,2003,3073
A,TOTAL,COMPLET,NR,T,EE,2004,2927
A,TOTAL,COMPLET,NR,T,EE,2005,4610
A,TOTAL,COMPLET,NR,T,EE,2006,5527
A,TOTAL,COMPLET,NR,T,EE,2007,4384
A,TOTAL,COMPLET,NR,T,EE,2008,4406
A,TOTAL,COMPLET,NR,T,EE,2009,4658
A,TOTAL,COMPLET,NR,T,EE,2010,5294
A,TOTAL,COMPLET,NR,T,EE,2011,6214
A,TOTAL,COMPLET,NR,T,EE,2012,6321
A,TOTAL,COMPLET,NR,T,EE,2013,6740
A,TOTAL,COMPLET,NR,T,EE,2014,4637
A,TOTAL,COMPLET,NR,T,EE,2015,13003
A,TOTAL,COMPLET,NR,T,EE,2016,13792
A,TOTAL,COMPLET,NR,T,EE,2017,12358
A,TOTAL,COMPLET,NR,T,EE,2018,10476
A,TOTAL,COMPLET,NR,T,EE,2019,12801
A,TOTAL,COMPLET,NR,T,EE,2020,12427
A,TOTAL,COMPLET,NR,T,EE,2021,12481
A,TOTAL,COMPLET,NR,T,EE,2022,9657
A,TOTAL,COMPLET,NR,T,EE,2023,12543
A,TOTAL,COMPLET,NR,T,EE,2024,17260
A,TOTAL,COMPLET,NR,T,EL,1995,47967
A,TOTAL,COMPLET,NR,T,EL,1996,54628
A,TOTAL,COMPLET,NR,T,EL,1997,51794
A,TOTAL,COMPLET,NR,T,EL,1998,60119
A,TOTAL,COMPLET,NR,T,EL,1999,54175
A,TOTAL,COMPLET,NR,T,EL,2000,46993
A,TOTAL,COMPLET,NR,T,EL,2001,45909
A,TOTAL,COMPLET,NR,T,EL,2002,39378
A,TOTAL,COMPLET,NR,T,EL,2003,37433
A,TOTAL,COMPLET,NR,T,EL,2004,38041
A,TOTAL,COMPLET,NR,T,EL,2005,38583
A,TOTAL,COMPLET,NR,T,EL,2006,38368
A,TOTAL,COMPLET,NR,T,EL,2007,40400
A,TOTAL,COMPLET,NR,T,EL,2008,43044
A,TOTAL,COMPLET,NR,T,EL,2009,43686
A,TOTAL,COMPLET,NR,T,EL,2010,62041
A,TOTAL,COMPLET,NR,T,EL,2011,106398
A,TOTAL,COMPLET,NR,T,EL,2012,135073
A,TOTAL,COMPLET,NR,T,EL,2013,126464
A,TOTAL,COMPLET,NR,T,EL,2014,114276
A,TOTAL,COMPLET,NR,T,EL,2015,118218
A,TOTAL,COMPLET,NR,T,EL,2016,119409
A,TOTAL,COMPLET,NR,T,EL,2017,117123
A,TOTAL,COMPLET,NR,T,EL,2018,118545
A,TOTAL,COMPLET,NR,T,EL,2019,111603
A,TOTAL,COMPLET,NR,T,EL,2020,95439
A,TOTAL,COMPLET,NR,T,EL,2021,92775
A,TOTAL,COMPLET,NR,T,EL,2022,91137
A,TOTAL,COMPLET,NR,T,EL,2023,86775
A,TOTAL,COMPLET,NR,T,EL,2024,78014
A,TOTAL,COMPLET,NR,T,ES,2002,36605
A,TOTAL,COMPLET,NR,T,ES,2003,25959
A,TOTAL,COMPLET,NR,T,ES,2004,55092
A,TOTAL,COMPLET,NR,T,ES,2005,68011
A,TOTAL,COMPLET,NR,T,ES,2006,142296
A,TOTAL,COMPLET,NR,T,ES,2007,227065
A,TOTAL,COMPLET,NR,T,ES,2008,288432
A,TOTAL,COMPLET,NR,T,ES,2009,380121
A,TOTAL,COMPLET,NR,T,ES,2010,403377
A,TOTAL,COMPLET,NR,T,ES,2011,409034
A,TOTAL,COMPLET,NR,T,ES,2012,446606
A,TOTAL,COMPLET,NR,T,ES,2013,532303
A,TOTAL,COMPLET,NR,T,ES,2014,400430
A,TOTAL,COMPLET,NR,T,ES,2015,343875
A,TOTAL,COMPLET,NR,T,ES,2016,327325
A,TOTAL,COMPLET,NR,T,ES,2017,368860
A,TOTAL,COMPLET,NR,T,ES,2018,309526
A,TOTAL,COMPLET,NR,T,ES,2019,296248
A,TOTAL,COMPLET,NR,T,ES,2020,248561
A,TOTAL,COMPLET,NR,T,ES,2021,696866
A,TOTAL,COMPLET,NR,T,ES,2022,531889
A,TOTAL,COMPLET,NR,T,ES,2023,608695
A,TOTAL,COMPLET,NR,T,ES,2024,662294
A,TOTAL,COMPLET,NR,T,EU27_2020,2013,2444099
A,TOTAL,COMPLET,NR,T,EU27_2020,2014,2439337
A,TOTAL,COMPLET,NR,T,EU27_2020,2015,2450290
A,TOTAL,COMPLET,NR,T,EU27_2020,2016,2635757
A,TOTAL,COMPLET,NR,T,EU27_2020,2017,2583494
A,TOTAL,COMPLET,NR,T,EU27_2020,2018,2400434
A,TOTAL,COMPLET,NR,T,EU27_2020,2019,2562378
A,TOTAL,COMPLET,NR,T,EU27_2020,2020,2141596
A,TOTAL,COMPLET,NR,T,EU27_2020,2021,2692807
A,TOTAL,COMPLET,NR,T,EU27_2020,2022,2694009
A,TOTAL,COMPLET,NR,T,EU27_2020,2023,3017592
A,TOTAL,COMPLET,NR,T,EU27_2020,2024,3166449
A,TOTAL,COMPLET,NR,T,FI,1995,8957
A,TOTAL,COMPLET,NR,T,FI,1996,10587
A,TOTAL,COMPLET,NR,T,FI,1997,9854
A,TOTAL,COMPLET,NR,T,FI,1998,10817
A,TOTAL,COMPLET,NR,T,FI,1999,11966
A,TOTAL,COMPLET,NR,T,FI,2000,14311
A,TOTAL,COMPLET,NR,T,FI,2001,13153
A,TOTAL,COMPLET,NR,T,FI,2002,12891
A,TOTAL,COMPLET,NR,T,FI,2003,12083
A,TOTAL,COMPLET,NR,T,FI,2004,13656
A,TOTAL,COMPLET,NR,T,FI,2005,12369
A,TOTAL,COMPLET,NR,T,FI,2006,12107
A,TOTAL,COMPLET,NR,T,FI,2007,12443
A,TOTAL,COMPLET,NR,T,FI,2008,13657
A,TOTAL,COMPLET,NR,T,FI,2009,12151
A,TOTAL,COMPLET,NR,T,FI,2010,11905
A,TOTAL,COMPLET,NR,T,FI,2011,12660
A,TOTAL,COMPLET,NR,T,FI,2012,13845
A,TOTAL,COMPLET,NR,T,FI,2013,13893
A,TOTAL,COMPLET,NR,T,FI,2014,15486
A,TOTAL,COMPLET,NR,T,FI,2015,16305
A,TOTAL,COMPLET,NR,T,FI,2016,18082
A,TOTAL,COMPLET,NR,T,FI,2017,16973
A,TOTAL,COMPLET,NR,T,FI,2018,19141
A,TOTAL,COMPLET,NR,T,FI,2019,17263
A,TOTAL,COMPLET,NR,T,FI,2020,15084
A,TOTAL,COMPLET,NR,T,FI,2021,13459
A,TOTAL,COMPLET,NR,T,FI,2022,15635
A,TOTAL,COMPLET,NR,T,FI,2023,15322
A,TOTAL,COMPLET,NR,T,FI,2024,16914
A,TOTAL,COMPLET,NR,T,FR,2006,189403
A,TOTAL,COMPLET,NR,T,FR,2007,220354
A,TOTAL,COMPLET,NR,T,FR,2008,239796
A,TOTAL,COMPLET,NR,T,FR,2009,264631
A,TOTAL,COMPLET,NR,T,FR,2010,269531
A,TOTAL,COMPLET,NR,T,FR,2011,291594
A,TOTAL,COMPLET,NR,T,FR,2012,255922
A,TOTAL,COMPLET,NR,T,FR,2013,239813
A,TOTAL,COMPLET,NR,T,FR,2014,308103
A,TOTAL,COMPLET,NR,T,FR,2015,324517
A,TOTAL,COMPLET,NR,T,FR,2016,313622
A,TOTAL,COMPLET,NR,T,FR,2017,215470
A,TOTAL,COMPLET,NR,T,FR,2018,188740
A,TOTAL,COMPLET,NR,T,FR,2019,259143
A,TOTAL,COMPLET,NR,T,FR,2020,191893
A,TOTAL,COMPLET,NR,T,FR,2021,147051
A,TOTAL,COMPLET,NR,T,FR,2022,279833
A,TOTAL,COMPLET,NR,T,FR,2023,266368
A,TOTAL,COMPLET,NR,T,FR,2024,263233
A,TOTAL,COMPLET,NR,T,HR,1995,15413
A,TOTAL,COMPLET,NR,T,HR,1996,10027
A,TOTAL,COMPLET,NR,T,HR,1997,18531
A,TOTAL,COMPLET,NR,T,HR,1998,7310
A,TOTAL,COMPLET,NR,T,HR,1999,14285
A,TOTAL,COMPLET,NR,T,HR,2001,7488
A,TOTAL,COMPLET,NR,T,HR,2002,11767
A,TOTAL,COMPLET,NR,T,HR,2003,6534
A,TOTAL,COMPLET,NR,T,HR,2004,6812
A,TOTAL,COMPLET,NR,T,HR,2006,7692
A,TOTAL,COMPLET,NR,T,HR,2007,9002
A,TOTAL,COMPLET,NR,T,HR,2008,10638
A,TOTAL,COMPLET,NR,T,HR,2009,12355
A,TOTAL,COMPLET,NR,T,HR,2010,13017
A,TOTAL,COMPLET,NR,T,HR,2011,12699
A,TOTAL,COMPLET,NR,T,HR,2012,12877
A,TOTAL,COMPLET,NR,T,HR,2013,15262
A,TOTAL,COMPLET,NR,T,HR,2014,20858
A,TOTAL,COMPLET,NR,T,HR,2015,29651
A,TOTAL,COMPLET,NR,T,HR,2016,36436
A,TOTAL,COMPLET,NR,T,HR,2017,47352
A,TOTAL,COMPLET,NR,T,HR,2018,39515
A,TOTAL,COMPLET,NR,T,HR,2019,40148
A,TOTAL,COMPLET,NR,T,HR,2020,34046
A,TOTAL,COMPLET,NR,T,HR,2021,40424
A,TOTAL,COMPLET,NR,T,HR,2022,46287
A,TOTAL,COMPLET,NR,T,HR,2023,39218
A,TOTAL,COMPLET,NR,T,HR,2024,38997
A,TOTAL,COMPLET,NR,T,HU,1995,3173
A,TOTAL,COMPLET,NR,T,HU,1996,3642
A,TOTAL,COMPLET,NR,T,HU,1997,2822
A,TOTAL,COMPLET,NR,T,HU,1998,3059
A,TOTAL,COMPLET,NR,T,HU,1999,2821
A,TOTAL,COMPLET,NR,T,HU,2000,2540
A,TOTAL,COMPLET,NR,T,HU,2001,2591
A,TOTAL,COMPLET,NR,T,HU,2002,3126
A,TOTAL,COMPLET,NR,T,HU,2003,3122
A,TOTAL,COMPLET,NR,T,HU,2004,3820
A,TOTAL,COMPLET,NR,T,HU,2005,3658
A,TOTAL,COMPLET,NR,T,HU,2006,4314
A,TOTAL,COMPLET,NR,T,HU,2007,4500
A,TOTAL,COMPLET,NR,T,HU,2008,9591
A,TOTAL,COMPLET,NR,T,HU,2009,10483
A,TOTAL,COMPLET,NR,T,HU,2010,13365
A,TOTAL,COMPLET,NR,T,HU,2011,15100
A,TOTAL,COMPLET,NR,T,HU,2012,22880
A,TOTAL,COMPLET,NR,T,HU,2013,34691
A,TOTAL,COMPLET,NR,T,HU,2014,42213
A,TOTAL,COMPLET,NR,T,HU,2015,43225
A,TOTAL,COMPLET,NR,T,HU,2016,39889
A,TOTAL,COMPLET,NR,T,HU,2017,39829
A,TOTAL,COMPLET,NR,T,HU,2018,48178
A,TOTAL,COMPLET,NR,T,HU,2019,49795
A,TOTAL,COMPLET,NR,T,HU,2020,67364
A,TOTAL,COMPLET,NR,T,HU,2021,67999
A,TOTAL,COMPLET,NR,T,HU,2022,58408
A,TOTAL,COMPLET,NR,T,HU,2023,71369
A,TOTAL,COMPLET,NR,T,HU,2024,84286
A,TOTAL,COMPLET,NR,T,IE,1995,31675
A,TOTAL,COMPLET,NR,T,IE,1996,26775
A,TOTAL,COMPLET,NR,T,IE,1997,27775
A,TOTAL,COMPLET,NR,T,IE,1998,30775
A,TOTAL,COMPLET,NR,T,IE,1999,27825
A,TOTAL,COMPLET,NR,T,IE,2000,26300
A,TOTAL,COMPLET,NR,T,IE,2001,25750
A,TOTAL,COMPLET,NR,T,IE,2002,28375
A,TOTAL,COMPLET,NR,T,IE,2003,27200
A,TOTAL,COMPLET,NR,T,IE,2004,28675
A,TOTAL,COMPLET,NR,T,IE,2005,34350
A,TOTAL,COMPLET,NR,T,IE,2006,44409
A,TOTAL,COMPLET,NR,T,IE,2007,48040
A,TOTAL,COMPLET,NR,T,IE,2008,65934
A,TOTAL,COMPLET,NR,T,IE,2009,69672
A,TOTAL,COMPLET,NR,T,IE,2010,78099
A,TOTAL,COMPLET,NR,T,IE,2011,83049
A,TOTAL,COMPLET,NR,T,IE,2012,81797
A,TOTAL,COMPLET,NR,T,IE,2013,76560
A,TOTAL,COMPLET,NR,T,IE,2014,71107
A,TOTAL,COMPLET,NR,T,IE,2015,67160
A,TOTAL,COMPLET,NR,T,IE,2016,55507
A,TOTAL,COMPLET,NR,T,IE,2017,58788
A,TOTAL,COMPLET,NR,T,IE,2018,50258
A,TOTAL,COMPLET,NR,T,IE,2019,51410
A,TOTAL,COMPLET,NR,T,IE,2020,51313
A,TOTAL,COMPLET,NR,T,IE,2021,53673
A,TOTAL,COMPLET,NR,T,IE,2022,61133
A,TOTAL,COMPLET,NR,T,IE,2023,75020
A,TOTAL,COMPLET,NR,T,IE,2024,58077
A,TOTAL,COMPLET,NR,T,IS,1995,4285
A,TOTAL,COMPLET,NR,T,IS,1996,4108
A,TOTAL,COMPLET,NR,T,IS,1997,3921
A,TOTAL,COMPLET,NR,T,IS,1998,3682
A,TOTAL,COMPLET,NR,T,IS,1999,3663
A,TOTAL,COMPLET,NR,T,IS,2000,3489
A,TOTAL,COMPLET,NR,T,IS,2001,4034
