freq,unit,sex,age,geo,time,value
A,YR,T,Y_LT1,AL,2013,77.9
A,YR,T,Y_LT1,AL,2014,78.2
A,YR,T,Y_LT1,AL,2015,77.9
A,YR,T,Y_LT1,AL,2016,78.5
A,YR,T,Y_LT1,AL,2017,78.5
A,YR,T,Y_LT1,AL,2018,78.9
A,YR,T,Y_LT1,AL,2019,79.1
A,YR,T,Y_LT1,AL,2020,77.4
A,YR,T,Y_LT1,AL,2021,75.5
A,YR,T,Y_LT1,AL,2022,79.1
A,YR,T,Y_LT1,AL,2024,80.4
A,YR,T,Y_LT1,AM,2006,72.9
A,YR,T,Y_LT1,AM,2007,73.6
A,YR,T,Y_LT1,AM,2008,73.6
A,YR,T,Y_LT1,AM,2009,73.7
A,YR,T,Y_LT1,AM,2015,75.1
A,YR,T,Y_LT1,AM,2016,75.1
A,YR,T,Y_LT1,AM,2017,75.8
A,YR,T,Y_LT1,AM,2018,76.7
A,YR,T,Y_LT1,AM,2019,76.6
A,YR,T,Y_LT1,AT,1995,76.9
A,YR,T,Y_LT1,AT,1996,77.1
A,YR,T,Y_LT1,AT,1997,77.5
A,YR,T,Y_LT1,AT,1998,77.9
A,YR,T,Y_LT1,AT,1999,78.1
A,YR,T,Y_LT1,AT,2000,78.3
A,YR,T,Y_LT1,AT,2001,78.8
A,YR,T,Y_LT1,AT,2002,78.9
A,YR,T,Y_LT1,AT,2003,78.8
A,YR,T,Y_LT1,AT,2004,79.3
A,YR,T,Y_LT1,AT,2005,79.5
A,YR,T,Y_LT1,AT,2006,80.1
A,YR,T,Y_LT1,AT,2007,80.3
A,YR,T,Y_LT1,AT,2008,80.6
A,YR,T,Y_LT1,AT,2009,80.5
A,YR,T,Y_LT1,AT,2010,80.7
A,YR,T,Y_LT1,AT,2011,81.1
A,YR,T,Y_LT1,AT,2012,81.1
A,YR,T,Y_LT1,AT,2013,81.3
A,YR,T,Y_LT1,AT,2014,81.4
A,YR,T,Y_LT1,AT,2015,81.2
A,YR,T,Y_LT1,AT,2016,81.6
A,YR,T,Y_LT1,AT,2017,81.6
A,YR,T,Y_LT1,AT,2018,81.7
A,YR,T,Y_LT1,AT,2019,81.9
A,YR,T,Y_LT1,AT,2020,81.3
A,YR,T,Y_LT1,AT,2021,81.3
A,YR,T,Y_LT1,AT,2022,81.4
A,YR,T,Y_LT1,AT,2023,81.9
A,YR,T,Y_LT1,AT,2024,82.1
A,YR,T,Y_LT1,AZ,2006,72.8
A,YR,T,Y_LT1,AZ,2007,72.8
A,YR,T,Y_LT1,AZ,2008,73.6
A,YR,T,Y_LT1,AZ,2009,73.8
A,YR,T,Y_LT1,AZ,2010,73.6
A,YR,T,Y_LT1,AZ,2012,74.1
A,YR,T,Y_LT1,AZ,2013,74.7
A,YR,T,Y_LT1,AZ,2014,74.8
A,YR,T,Y_LT1,AZ,2015,75.3
A,YR,T,Y_LT1,AZ,2017,75.6
A,YR,T,Y_LT1,AZ,2018,76.0
A,YR,T,Y_LT1,AZ,2019,76.6
A,YR,T,Y_LT1,BE,1995,77.0
A,YR,T,Y_LT1,BE,1996,77.3
A,YR,T,Y_LT1,BE,1997,77.5
A,YR,T,Y_LT1,BE,1998,77.6
A,YR,T,Y_LT1,BE,1999,77.7
A,YR,T,Y_LT1,BE,2000,77.9
A,YR,T,Y_LT1,BE,2001,78.1
A,YR,T,Y_LT1,BE,2002,78.2
A,YR,T,Y_LT1,BE,2003,78.3
A,YR,T,Y_LT1,BE,2004,79.0
A,YR,T,Y_LT1,BE,2005,79.1
A,YR,T,Y_LT1,BE,2006,79.5
A,YR,T,Y_LT1,BE,2007,79.9
A,YR,T,Y_LT1,BE,2008,79.8
A,YR,T,Y_LT1,BE,2009,80.2
A,YR,T,Y_LT1,BE,2010,80.3
A,YR,T,Y_LT1,BE,2011,80.7
A,YR,T,Y_LT1,BE,2012,80.5
A,YR,T,Y_LT1,BE,2013,80.7
A,YR,T,Y_LT1,BE,2014,81.1
A,YR,T,Y_LT1,BE,2015,80.9
A,YR,T,Y_LT1,BE,2016,81.3
A,YR,T,Y_LT1,BE,2017,81.4
A,YR,T,Y_LT1,BE,2018,81.5
A,YR,T,Y_LT1,BE,2019,81.8
A,YR,T,Y_LT1,BE,2020,80.8
A,YR,T,Y_LT1,BE,2021,81.7
A,YR,T,Y_LT1,BE,2022,81.7
A,YR,T,Y_LT1,BE,2023,82.3
A,YR,T,Y_LT1,BE,2024,82.4
A,YR,T,Y_LT1,BG,1995,71.0
A,YR,T,Y_LT1,BG,1996,70.8
A,YR,T,Y_LT1,BG,1997,70.3
A,YR,T,Y_LT1,BG,1998,70.9
A,YR,T,Y_LT1,BG,1999,71.6
A,YR,T,Y_LT1,BG,2000,71.6
A,YR,T,Y_LT1,BG,2001,71.9
A,YR,T,Y_LT1,BG,2002,72.1
A,YR,T,Y_LT1,BG,2003,72.3
A,YR,T,Y_LT1,BG,2004,72.5
A,YR,T,Y_LT1,BG,2005,72.5
A,YR,T,Y_LT1,BG,2006,72.7
A,YR,T,Y_LT1,BG,2007,73.0
A,YR,T,Y_LT1,BG,2008,73.3
A,YR,T,Y_LT1,BG,2009,73.7
A,YR,T,Y_LT1,BG,2010,73.8
A,YR,T,Y_LT1,BG,2011,74.2
A,YR,T,Y_LT1,BG,2012,74.4
A,YR,T,Y_LT1,BG,2013,74.9
A,YR,T,Y_LT1,BG,2014,74.4
A,YR,T,Y_LT1,BG,2015,74.5
A,YR,T,Y_LT1,BG,2016,74.7
A,YR,T,Y_LT1,BG,2017,74.6
A,YR,T,Y_LT1,BG,2018,74.7
A,YR,T,Y_LT1,BG,2019,74.8
A,YR,T,Y_LT1,BG,2020,73.3
A,YR,T,Y_LT1,BG,2021,71.2
A,YR,T,Y_LT1,BG,2022,74.1
A,YR,T,Y_LT1,BG,2023,75.7
A,YR,T,Y_LT1,BG,2024,75.8
A,YR,T,Y_LT1,BY,2011,70.7
A,YR,T,Y_LT1,BY,2012,72.3
A,YR,T,Y_LT1,BY,2013,72.7
A,YR,T,Y_LT1,BY,2014,73.3
A,YR,T,Y_LT1,BY,2015,74.0
A,YR,T,Y_LT1,BY,2016,74.2
A,YR,T,Y_LT1,BY,2017,74.5
A,YR,T,Y_LT1,BY,2018,74.5
A,YR,T,Y_LT1,CH,1995,78.7
A,YR,T,Y_LT1,CH,1996,79.2
A,YR,T,Y_LT1,CH,1997,79.4
A,YR,T,Y_LT1,CH,1998,79.6
A,YR,T,Y_LT1,CH,1999,79.9
A,YR,T,Y_LT1,CH,2000,80.0
A,YR,T,Y_LT1,CH,2001,80.5
A,YR,T,Y_LT1,CH,2002,80.6
A,YR,T,Y_LT1,CH,2003,80.7
A,YR,T,Y_LT1,CH,2004,81.3
A,YR,T,Y_LT1,CH,2005,81.5
A,YR,T,Y_LT1,CH,2006,81.8
A,YR,T,Y_LT1,CH,2007,82.0
A,YR,T,Y_LT1,CH,2008,82.3
A,YR,T,Y_LT1,CH,2009,82.3
A,YR,T,Y_LT1,CH,2010,82.7
A,YR,T,Y_LT1,CH,2011,82.8
A,YR,T,Y_LT1,CH,2012,82.8
A,YR,T,Y_LT1,CH,2013,82.9
A,YR,T,Y_LT1,CH,2014,83.1
A,YR,T,Y_LT1,CH,2015,82.9
A,YR,T,Y_LT1,CH,2016,83.4
A,YR,T,Y_LT1,CH,2017,83.4
A,YR,T,Y_LT1,CH,2018,83.6
A,YR,T,Y_LT1,CH,2019,83.8
A,YR,T,Y_LT1,CH,2020,83.1
A,YR,T,Y_LT1,CH,2021,83.6
A,YR,T,Y_LT1,CH,2022,83.5
A,YR,T,Y_LT1,CH,2023,84.1
A,YR,T,Y_LT1,CH,2024,84.2
A,YR,T,Y_LT1,CY,1995,77.4
A,YR,T,Y_LT1,CY,1996,77.7
A,YR,T,Y_LT1,CY,1997,77.4
A,YR,T,Y_LT1,CY,1998,77.2
A,YR,T,Y_LT1,CY,1999,78.0
A,YR,T,Y_LT1,CY,2000,77.7
A,YR,T,Y_LT1,CY,2001,79.0
A,YR,T,Y_LT1,CY,2002,78.7
A,YR,T,Y_LT1,CY,2003,79.0
A,YR,T,Y_LT1,CY,2004,79.1
A,YR,T,Y_LT1,CY,2005,78.7
A,YR,T,Y_LT1,CY,2006,80.1
A,YR,T,Y_LT1,CY,2007,79.8
A,YR,T,Y_LT1,CY,2008,80.6
A,YR,T,Y_LT1,CY,2009,81.0
A,YR,T,Y_LT1,CY,2010,81.5
A,YR,T,Y_LT1,CY,2011,81.2
A,YR,T,Y_LT1,CY,2012,81.1
A,YR,T,Y_LT1,CY,2013,82.5
A,YR,T,Y_LT1,CY,2014,82.3
A,YR,T,Y_LT1,CY,2015,81.9
A,YR,T,Y_LT1,CY,2016,82.8
A,YR,T,Y_LT1,CY,2017,82.4
A,YR,T,Y_LT1,CY,2018,83.0
A,YR,T,Y_LT1,CY,2019,82.6
A,YR,T,Y_LT1,CY,2020,82.7
A,YR,T,Y_LT1,CY,2021,81.8
A,YR,T,Y_LT1,CY,2022,82.2
A,YR,T,Y_LT1,CY,2023,83.0
A,YR,T,Y_LT1,CY,2024,83.5
A,YR,T,Y_LT1,CZ,1995,73.3
A,YR,T,Y_LT1,CZ,1996,74.0
A,YR,T,Y_LT1,CZ,1997,74.1
A,YR,T,Y_LT1,CZ,1998,74.7
A,YR,T,Y_LT1,CZ,1999,74.9
A,YR,T,Y_LT1,CZ,2000,75.1
A,YR,T,Y_LT1,CZ,2001,75.3
A,YR,T,Y_LT1,CZ,2002,75.4
A,YR,T,Y_LT1,CZ,2003,75.3
A,YR,T,Y_LT1,CZ,2004,75.9
A,YR,T,Y_LT1,CZ,2005,76.1
A,YR,T,Y_LT1,CZ,2006,76.7
A,YR,T,Y_LT1,CZ,2007,77.0
A,YR,T,Y_LT1,CZ,2008,77.3
A,YR,T,Y_LT1,CZ,2009,77.4
A,YR,T,Y_LT1,CZ,2010,77.7
A,YR,T,Y_LT1,CZ,2011,78.0
A,YR,T,Y_LT1,CZ,2012,78.1
A,YR,T,Y_LT1,CZ,2013,78.3
A,YR,T,Y_LT1,CZ,2014,78.8
A,YR,T,Y_LT1,CZ,2015,78.6
A,YR,T,Y_LT1,CZ,2016,79.0
A,YR,T,Y_LT1,CZ,2017,79.0
A,YR,T,Y_LT1,CZ,2018,79.0
A,YR,T,Y_LT1,CZ,2019,79.2
A,YR,T,Y_LT1,CZ,2020,78.3
A,YR,T,Y_LT1,CZ,2021,77.2
A,YR,T,Y_LT1,CZ,2022,79.0
A,YR,T,Y_LT1,CZ,2023,79.8
A,YR,T,Y_LT1,CZ,2024,80.1
A,YR,T,Y_LT1,DE,1995,76.7
A,YR,T,Y_LT1,DE,1996,77.0
A,YR,T,Y_LT1,DE,1997,77.4
A,YR,T,Y_LT1,DE,1998,77.8
A,YR,T,Y_LT1,DE,1999,78.0
A,YR,T,Y_LT1,DE,2000,78.3
A,YR,T,Y_LT1,DE,2001,78.6
A,YR,T,Y_LT1,DE,2002,78.6
A,YR,T,Y_LT1,DE,2003,78.6
A,YR,T,Y_LT1,DE,2004,79.3
A,YR,T,Y_LT1,DE,2005,79.4
A,YR,T,Y_LT1,DE,2006,79.9
A,YR,T,Y_LT1,DE,2007,80.1
A,YR,T,Y_LT1,DE,2008,80.2
A,YR,T,Y_LT1,DE,2009,80.3
A,YR,T,Y_LT1,DE,2010,80.5
A,YR,T,Y_LT1,DE,2011,80.6
A,YR,T,Y_LT1,DE,2012,80.7
A,YR,T,Y_LT1,DE,2013,80.6
A,YR,T,Y_LT1,DE,2014,80.9
A,YR,T,Y_LT1,DE,2015,80.6
A,YR,T,Y_LT1,DE,2016,80.9
A,YR,T,Y_LT1,DE,2017,81.0
A,YR,T,Y_LT1,DE,2018,80.9
A,YR,T,Y_LT1,DE,2019,81.2
A,YR,T,Y_LT1,DE,2020,81.0
A,YR,T,Y_LT1,DE,2021,80.7
A,YR,T,Y_LT1,DE,2022,80.5
A,YR,T,Y_LT1,DE,2023,80.9
A,YR,T,Y_LT1,DE,2024,81.2
A,YR,T,Y_LT1,DE_TOT,1995,76.7
A,YR,T,Y_LT1,DE_TOT,1996,77.0
A,YR,T,Y_LT1,DE_TOT,1997,77.4
A,YR,T,Y_LT1,DE_TOT,1998,77.8
A,YR,T,Y_LT1,DE_TOT,1999,78.0
A,YR,T,Y_LT1,DE_TOT,2000,78.3
A,YR,T,Y_LT1,DE_TOT,2001,78.6
A,YR,T,Y_LT1,DE_TOT,2002,78.6
A,YR,T,Y_LT1,DE_TOT,2003,78.6
A,YR,T,Y_LT1,DE_TOT,2004,79.3
A,YR,T,Y_LT1,DE_TOT,2005,79.4
A,YR,T,Y_LT1,DE_TOT,2006,79.9
A,YR,T,Y_LT1,DE_TOT,2007,80.1
A,YR,T,Y_LT1,DE_TOT,2008,80.2
A,YR,T,Y_LT1,DE_TOT,2009,80.3
A,YR,T,Y_LT1,DE_TOT,2010,80.5
A,YR,T,Y_LT1,DE_TOT,2011,80.6
A,YR,T,Y_LT1,DE_TOT,2012,80.7
A,YR,T,Y_LT1,DE_TOT,2013,80.6
A,YR,T,Y_LT1,DE_TOT,2014,80.9
A,YR,T,Y_LT1,DE_TOT,2015,80.6
A,YR,T,Y_LT1,DE_TOT,2016,80.9
A,YR,T,Y_LT1,DE_TOT,2017,81.0
A,YR,T,Y_LT1,DE_TOT,2018,80.9
A,YR,T,Y_LT1,DE_TOT,2019,81.2
A,YR,T,Y_LT1,DE_TOT,2020,81.0
A,YR,T,Y_LT1,DE_TOT,2021,80.7
A,YR,T,Y_LT1,DE_TOT,2022,80.5
A,YR,T,Y_LT1,DE_TOT,2023,80.9
A,YR,T,Y_LT1,DE_TOT,2024,81.2
A,YR,T,Y_LT1,DK,1995,75.3
A,YR,T,Y_LT1,DK,1996,75.7
A,YR,T,Y_LT1,DK,1997,76.1
A,YR,T,Y_LT1,DK,1998,76.5
A,YR,T,Y_LT1,DK,1999,76.6
A,YR,T,Y_LT1,DK,2000,76.9
A,YR,T,Y_LT1,DK,2001,77.0
A,YR,T,Y_LT1,DK,2002,77.1
A,YR,T,Y_LT1,DK,2003,77.4
A,YR,T,Y_LT1,DK,2004,77.8
A,YR,T,Y_LT1,DK,2005,78.3
A,YR,T,Y_LT1,DK,2006,78.4
A,YR,T,Y_LT1,DK,2007,78.4
A,YR,T,Y_LT1,DK,2008,78.8
A,YR,T,Y_LT1,DK,2009,79.0
A,YR,T,Y_LT1,DK,2010,79.3
A,YR,T,Y_LT1,DK,2011,79.9
A,YR,T,Y_LT1,DK,2012,80.2
A,YR,T,Y_LT1,DK,2013,80.4
A,YR,T,Y_LT1,DK,2014,80.6
A,YR,T,Y_LT1,DK,2015,80.7
A,YR,T,Y_LT1,DK,2016,80.9
A,YR,T,Y_LT1,DK,2017,81.1
A,YR,T,Y_LT1,DK,2018,81.0
A,YR,T,Y_LT1,DK,2019,81.4
A,YR,T,Y_LT1,DK,2020,81.5
A,YR,T,Y_LT1,DK,2021,81.4
A,YR,T,Y_LT1,DK,2022,81.3
A,YR,T,Y_LT1,DK,2023,81.7
A,YR,T,Y_LT1,DK,2024,82.0
A,YR,T,Y_LT1,EA19,2002,78.9
A,YR,T,Y_LT1,EA19,2003,78.9
A,YR,T,Y_LT1,EA19,2004,79.6
A,YR,T,Y_LT1,EA19,2005,79.6
A,YR,T,Y_LT1,EA19,2006,80.1
A,YR,T,Y_LT1,EA19,2007,80.3
A,YR,T,Y_LT1,EA19,2008,80.5
A,YR,T,Y_LT1,EA19,2009,80.8
A,YR,T,Y_LT1,EA19,2010,81.1
A,YR,T,Y_LT1,EA19,2011,81.3
A,YR,T,Y_LT1,EA19,2012,81.3
A,YR,T,Y_LT1,EA19,2013,81.6
A,YR,T,Y_LT1,EA20,2014,81.6
A,YR,T,Y_LT1,EA20,2015,81.3
A,YR,T,Y_LT1,EA20,2016,81.7
A,YR,T,Y_LT1,EA20,2017,81.7
A,YR,T,Y_LT1,EA20,2018,81.8
A,YR,T,Y_LT1,EA20,2019,82.1
A,YR,T,Y_LT1,EA20,2020,81.4
A,YR,T,Y_LT1,EA20,2021,81.4
A,YR,T,Y_LT1,EA20,2022,81.6
A,YR,T,Y_LT1,EA20,2023,82.1
A,YR,T,Y_LT1,EA20,2024,82.4
A,YR,T,Y_LT1,EA21,2014,81.4
A,YR,T,Y_LT1,EA21,2015,81.2
A,YR,T,Y_LT1,EA21,2016,81.5
A,YR,T,Y_LT1,EA21,2017,81.6
A,YR,T,Y_LT1,EA21,2018,81.7
A,YR,T,Y_LT1,EA21,2019,81.9
A,YR,T,Y_LT1,EA21,2020,81.2
A,YR,T,Y_LT1,EA21,2021,81.1
A,YR,T,Y_LT1,EA21,2022,81.4
A,YR,T,Y_LT1,EA21,2023,82.0
A,YR,T,Y_LT1,EA21,2024,82.2
A,YR,T,Y_LT1,EE,1995,67.7
A,YR,T,Y_LT1,EE,1996,69.9
A,YR,T,Y_LT1,EE,1997,70.1
A,YR,T,Y_LT1,EE,1998,69.7
A,YR,T,Y_LT1,EE,1999,70.6
A,YR,T,Y_LT1,EE,2000,71.1
A,YR,T,Y_LT1,EE,2001,70.9
A,YR,T,Y_LT1,EE,2002,71.4
A,YR,T,Y_LT1,EE,2003,71.9
A,YR,T,Y_LT1,EE,2004,72.4
A,YR,T,Y_LT1,EE,2005,73.0
A,YR,T,Y_LT1,EE,2006,73.2
A,YR,T,Y_LT1,EE,2007,73.2
A,YR,T,Y_LT1,EE,2008,74.4
A,YR,T,Y_LT1,EE,2009,75.3
A,YR,T,Y_LT1,EE,2010,76.0
A,YR,T,Y_LT1,EE,2011,76.6
A,YR,T,Y_LT1,EE,2012,76.7
A,YR,T,Y_LT1,EE,2013,77.5
A,YR,T,Y_LT1,EE,2014,77.1
A,YR,T,Y_LT1,EE,2015,77.7
A,YR,T,Y_LT1,EE,2016,77.8
A,YR,T,Y_LT1,EE,2017,78.2
A,YR,T,Y_LT1,EE,2018,78.4
A,YR,T,Y_LT1,EE,2019,78.8
A,YR,T,Y_LT1,EE,2020,78.8
A,YR,T,Y_LT1,EE,2021,77.2
A,YR,T,Y_LT1,EE,2022,78.1
A,YR,T,Y_LT1,EE,2023,78.9
A,YR,T,Y_LT1,EE,2024,79.4
A,YR,T,Y_LT1,EEA30_2007,2002,77.8
A,YR,T,Y_LT1,EEA30_2007,2003,77.8
A,YR,T,Y_LT1,EEA30_2007,2004,78.4
A,YR,T,Y_LT1,EEA30_2007,2005,78.5
A,YR,T,Y_LT1,EEA30_2007,2006,79.0
A,YR,T,Y_LT1,EEA30_2007,2007,79.2
A,YR,T,Y_LT1,EEA30_2007,2008,79.4
A,YR,T,Y_LT1,EEA30_2007,2009,79.7
A,YR,T,Y_LT1,EEA30_2007,2010,80.0
A,YR,T,Y_LT1,EEA30_2007,2011,80.3
A,YR,T,Y_LT1,EEA30_2007,2012,80.3
A,YR,T,Y_LT1,EEA30_2007,2013,80.6
A,YR,T,Y_LT1,EEA30_2007,2014,80.9
A,YR,T,Y_LT1,EEA30_2007,2015,80.6
A,YR,T,Y_LT1,EEA30_2007,2016,81.0
A,YR,T,Y_LT1,EEA30_2007,2017,81.0
A,YR,T,Y_LT1,EEA30_2007,2018,81.1
A,YR,T,Y_LT1,EEA31,2002,77.7
A,YR,T,Y_LT1,EEA31,2003,77.8
A,YR,T,Y_LT1,EEA31,2004,78.4
A,YR,T,Y_LT1,EEA31,2005,78.5
A,YR,T,Y_LT1,EEA31,2006,79.0
A,YR,T,Y_LT1,EEA31,2007,79.2
A,YR,T,Y_LT1,EEA31,2008,79.4
A,YR,T,Y_LT1,EEA31,2009,79.6
A,YR,T,Y_LT1,EEA31,2010,79.9
A,YR,T,Y_LT1,EEA31,2011,80.3
A,YR,T,Y_LT1,EEA31,2012,80.3
A,YR,T,Y_LT1,EEA31,2013,80.6
A,YR,T,Y_LT1,EEA31,2014,80.9
A,YR,T,Y_LT1,EEA31,2015,80.6
A,YR,T,Y_LT1,EEA31,2016,81.0
A,YR,T,Y_LT1,EEA31,2017,81.0
A,YR,T,Y_LT1,EEA31,2018,81.0
A,YR,T,Y_LT1,EFTA,1995,78.3
A,YR,T,Y_LT1,EFTA,1996,78.8
A,YR,T,Y_LT1,EFTA,1997,78.9
A,YR,T,Y_LT1,EFTA,1998,79.2
A,YR,T,Y_LT1,EFTA,1999,79.3
A,YR,T,Y_LT1,EFTA,2000,79.5
A,YR,T,Y_LT1,EFTA,2001,79.9
A,YR,T,Y_LT1,EFTA,2002,80.0
A,YR,T,Y_LT1,EFTA,2003,80.3
A,YR,T,Y_LT1,EFTA,2004,80.9
A,YR,T,Y_LT1,EFTA,2005,81.0
A,YR,T,Y_LT1,EFTA,2006,81.4
A,YR,T,Y_LT1,EFTA,2007,81.5
A,YR,T,Y_LT1,EFTA,2008,81.8
A,YR,T,Y_LT1,EFTA,2009,81.9
A,YR,T,Y_LT1,EFTA,2010,82.1
A,YR,T,Y_LT1,EFTA,2011,82.3
A,YR,T,Y_LT1,EFTA,2012,82.3
A,YR,T,Y_LT1,EFTA,2013,82.5
A,YR,T,Y_LT1,EFTA,2014,82.7
